team,open,murk,hive,fortress,bloom,avg,best,worst,swing,hooks,roles at 2+,deep role,elements,duplicate elements,harmonies
"Vitre, Ledger, Nettle, Mire, Bosk",1.25,0.95,1.9,1.69,1.62,1.482,1.9,0.95,0.95,8,Breakerx2 Speedx3 Tankx2,none,void order energy growth decay,0,0
"Pyre, Corr, Mire, Maul, Fen",1.32,0.58,1.58,2.11,1.81,1.48,2.11,0.58,1.53,6,DPSx2 Healerx2,none,chaos void growth decay order,0,0
"Mire, Tarn, Corr, Vane, Sump",1.32,1.07,1.46,2.01,1.53,1.478,2.01,1.07,0.94,10,Healerx3 Tankx2 DPSx2,none,growth chaos void energy growth,1,12.5
"Cinder, Ferrule, Rime, Vane, Ballast",1.44,0.88,1.58,1.74,1.74,1.476,1.74,0.88,0.86,8,DPSx2 Tankx2,none,chaos growth order energy growth,1,8.6
"Maul, Ballast, Cinder, Ledger, Fen",1.32,0.93,1.07,2.31,1.74,1.474,2.31,0.93,1.38,6,DPSx2 Breakerx2,none,decay growth chaos order order,1,14.5
"Mote, Quill, Nettle, Cinder, Halo",1.32,1.07,1.16,2.01,1.67,1.446,2.01,1.07,0.94,6,Speedx3 Breakerx2 DoTx2,none,energy void energy chaos energy,2,44.3
"Wex, Corr, Cinder, Pyre, Fen",1.32,0.81,1.25,2.41,1.39,1.436,2.41,0.81,1.6,4,Healerx2 DPSx2 DoTx2,none,order void chaos chaos order,2,39.4
"Tarn, Cinder, Ferrule, Mire, Pyre",1.32,0.93,1.23,2.24,1.44,1.432,2.24,0.93,1.31,10,Tankx3 DPSx3 DoTx2,none,chaos chaos growth growth chaos,3,66.8
"Ballast, Vane, Ledger, Rime, Tarn",1.23,0.91,1.74,1.53,1.74,1.43,1.74,0.91,0.83,9,Tankx2 Speedx2 Breakerx2,none,growth energy order order chaos,1,26.3
"Vitre, Vane, Ballast, Mire, Corr",1.23,0.91,1.74,1.64,1.58,1.42,1.74,0.91,0.83,9,Speedx2 Healerx2 Tankx2,none,void energy growth growth void,2,38.8
"Pyre, Quill, Ledger, Rime, Tarn",1.28,0.98,1.48,1.64,1.67,1.41,1.67,0.98,0.69,8,DoTx2 Breakerx3,none,chaos void order order chaos,2,21.7
"Vitre, Vane, Ferrule, Nettle, Corr",1.18,0.91,1.58,1.81,1.55,1.406,1.81,0.91,0.9,7,Speedx3 DPSx2,none,void energy growth energy void,2,34.2
"Corr, Fen, Pyre, Tarn, Cinder",1.23,1.02,1.16,2.01,1.51,1.386,2.01,1.02,0.99,6,DPSx3 DoTx2,none,void order chaos chaos chaos,2,30.6
"Rime, Sump, Mire, Corr, Halo",1.25,0.86,1.58,1.55,1.64,1.376,1.64,0.86,0.78,9,Healerx3,none,order growth growth void energy,1,18.4
"Sump, Halo, Rime, Wex, Cinder",1.23,0.81,1.41,1.92,1.46,1.366,1.92,0.81,1.11,8,DoTx2 Healerx3,none,growth energy order order chaos,1,16.5
"Nettle, Bosk, Rime, Pyre, Corr",1.23,1.02,1.28,1.69,1.6,1.364,1.69,1.02,0.67,4,DPSx2,none,energy decay order chaos void,0,0
"Quill, Vitre, Vane, Ferrule, Nettle",1.21,0.84,1.88,1.32,1.53,1.356,1.88,0.84,1.04,8,Breakerx2 Speedx3,none,void void energy growth energy,2,50.7
"Pyre, Vitre, Cinder, Vane, Mire",1.16,0.81,1.58,1.76,1.44,1.35,1.76,0.81,0.95,9,DoTx2 Speedx2 Healerx2,none,chaos void chaos energy growth,1,25.1
"Wex, Ledger, Ferrule, Sump, Cinder",1.32,0.79,0.98,2.43,1.23,1.35,2.43,0.79,1.64,8,Tankx2 Healerx2 DPSx2 DoTx2,none,order order growth growth chaos,2,39.1
"Wex, Pyre, Bosk, Cinder, Fen",1.23,0.79,1.18,2.22,1.32,1.348,2.22,0.79,1.43,4,Tankx2 Healerx2 DoTx2 DPSx2,none,order chaos decay chaos order,2,45.9
"Vane, Vitre, Ledger, Sump, Nettle",1.16,0.81,1.9,1.41,1.41,1.338,1.9,0.81,1.09,9,Speedx4 Healerx2 Breakerx2,Speed,energy void order growth energy,1,17.9
"Mote, Pyre, Vane, Mire, Corr",1.3,0.88,1.23,1.6,1.58,1.318,1.6,0.88,0.72,7,Speedx2 Healerx2,none,energy chaos energy growth void,1,17.7
"Vane, Corr, Ferrule, Rime, Tarn",1.25,0.86,1.55,1.34,1.58,1.316,1.58,0.86,0.72,8,DPSx3 Tankx2,none,energy void growth order chaos,0,0
"Ledger, Corr, Ferrule, Quill, Nettle",1.23,0.91,1.02,1.92,1.46,1.308,1.92,0.91,1.01,5,Breakerx2 Speedx2 DPSx2,none,order void growth void energy,1,21
"Tarn, Vane, Sump, Rime, Ferrule",1.23,0.88,1.62,1.25,1.55,1.306,1.62,0.88,0.74,11,Tankx2 DPSx2 Healerx2,none,chaos energy growth order growth,1,11
"Tarn, Cinder, Vane, Rime, Ballast",1.16,0.93,1.23,1.71,1.48,1.302,1.71,0.93,0.78,9,Tankx2 DPSx2,none,chaos chaos energy order growth,1,3.1
"Maul, Quill, Ledger, Ferrule, Mire",1.16,0.65,1.23,1.9,1.55,1.298,1.9,0.65,1.25,8,DPSx2 Breakerx3 Tankx2,none,decay void order growth growth,1,8.9
"Vitre, Ferrule, Cinder, Vane, Nettle",1.07,0.86,1.53,1.62,1.39,1.294,1.62,0.86,0.76,8,Speedx3 DPSx2,none,void growth chaos energy energy,1,15.3
"Halo, Ballast, Cinder, Rime, Fen",1.21,0.75,1.46,1.58,1.46,1.292,1.58,0.75,0.83,7,Healerx2,none,energy growth chaos order order,1,24.5
"Maul, Ballast, Mire, Tarn, Halo",1.11,0.88,1.14,1.83,1.46,1.284,1.83,0.88,0.95,10,DPSx2 Tankx3 Healerx2,none,decay growth growth chaos energy,1,11.6
"Tarn, Pyre, Bosk, Ferrule, Cinder",1.23,0.86,1.07,1.94,1.32,1.284,1.94,0.86,1.08,7,Tankx3 DPSx4 DoTx2,DPS,chaos chaos decay growth chaos,2,42.8
"Pyre, Vitre, Wex, Nettle, Ballast",1.16,0.79,1.74,1.32,1.41,1.284,1.74,0.79,0.95,8,Speedx2 Tankx2,none,chaos void order energy growth,0,0
"Mote, Sump, Vane, Ballast, Bosk",1.23,0.81,1.28,1.6,1.48,1.28,1.6,0.81,0.79,8,Speedx2 Healerx2 Tankx2,none,energy growth energy growth decay,2,31.8
"Vane, Tarn, Cinder, Mire, Nettle",1.09,0.93,1.07,1.97,1.32,1.276,1.97,0.93,1.04,9,Speedx2 Healerx2 Tankx2 DPSx2,none,energy chaos chaos growth energy,2,22.1
"Tarn, Quill, Cinder, Nettle, Fen",1.16,0.88,1.07,1.97,1.23,1.262,1.97,0.88,1.09,7,DPSx2 DoTx2,none,chaos void chaos energy order,1,6.4
"Bosk, Quill, Vitre, Tarn, Halo",1.07,0.81,1.58,1.48,1.37,1.262,1.58,0.81,0.77,8,DPSx2 Tankx2 Breakerx2 Speedx2,none,decay void void chaos energy,1,20.9
"Fen, Tarn, Ferrule, Nettle, Cinder",1.16,0.77,1.32,2.06,0.95,1.252,2.06,0.77,1.29,8,Tankx2 DPSx3,none,order chaos growth energy chaos,1,22.1
"Rime, Sump, Wex, Ferrule, Vane",1.16,0.75,1.48,1.3,1.51,1.24,1.51,0.75,0.76,9,Healerx3 Tankx2,none,order growth order growth energy,2,44.2
"Vane, Ferrule, Ballast, Sump, Rime",1.16,0.75,1.39,1.41,1.48,1.238,1.48,0.75,0.73,10,Healerx2 Tankx2,none,energy growth growth growth order,2,50
"Cinder, Nettle, Wex, Ferrule, Ledger",1.18,0.7,0.91,2.11,1.23,1.226,2.11,0.7,1.41,6,DPSx2 Speedx2 Tankx2,none,chaos energy order growth order,1,21.3
"Vane, Tarn, Maul, Ledger, Sump",1.07,0.77,1.02,1.85,1.34,1.21,1.85,0.77,1.08,9,Speedx2 Healerx2 DPSx2 Breakerx2,none,energy chaos decay order growth,0,0
"Rime, Vane, Fen, Wex, Ballast",1.14,0.75,1.51,1.18,1.46,1.208,1.51,0.75,0.76,7,Healerx3 Tankx2,none,order energy order order growth,2,74.3
"Corr, Bosk, Tarn, Vane, Fen",1.16,0.86,1.16,1.62,1.16,1.192,1.62,0.86,0.76,5,DPSx3 Tankx2 Healerx2,none,void decay chaos energy order,0,0
"Sump, Vitre, Ferrule, Pyre, Nettle",1.02,0.7,1.53,1.41,1.28,1.188,1.53,0.7,0.83,10,DoTx2 Speedx2,none,growth void growth chaos energy,1,7.8
"Rime, Corr, Wex, Vane, Pyre",1.07,0.72,1.51,1.25,1.39,1.188,1.51,0.72,0.79,5,Healerx2,none,order void order energy chaos,1,18.5
"Ledger, Quill, Rime, Halo, Vane",1.07,0.75,1.41,1.21,1.39,1.166,1.41,0.75,0.66,6,Breakerx3 Speedx3 Healerx2,none,order void order energy energy,2,25.5
"Vane, Mire, Corr, Cinder, Ballast",1.05,0.68,1,1.94,1.07,1.148,1.94,0.68,1.26,7,Healerx2 Tankx2 DPSx2,none,energy growth void chaos growth,1,16.1
"Sump, Tarn, Nettle, Corr, Vane",1.02,0.81,0.98,1.74,1.16,1.142,1.74,0.81,0.93,8,Healerx2 DPSx2 Speedx2,none,growth chaos energy void energy,1,15.2
"Sump, Maul, Pyre, Mire, Nettle",1.07,0.61,0.88,1.9,1.23,1.138,1.9,0.61,1.29,9,DoTx2 Healerx2,none,growth decay chaos growth energy,1,16.8
"Tarn, Ledger, Pyre, Mire, Bosk",0.98,0.75,1.02,1.58,1.16,1.098,1.58,0.75,0.83,8,Tankx3 DPSx2,none,chaos order chaos growth decay,1,6.6
"Corr, Tarn, Sump, Halo, Maul",0.98,0.72,1.07,1.62,1.09,1.096,1.62,0.72,0.9,8,DPSx3 Healerx2,none,void chaos growth energy decay,0,0
"Corr, Vane, Sump, Bosk, Tarn",0.93,0.75,1.07,1.51,1.21,1.094,1.51,0.75,0.76,7,DPSx3 Healerx2 Tankx2,none,void energy growth decay chaos,0,0
"Bosk, Maul, Tarn, Corr, Pyre",1.02,0.75,0.91,1.58,1.16,1.084,1.58,0.75,0.83,5,DPSx4 Tankx2,DPS,decay decay chaos void chaos,2,13.1
"Ferrule, Fen, Corr, Sump, Bosk",1.07,0.63,1.14,1.44,1.09,1.074,1.44,0.63,0.81,6,Tankx2 DPSx3 Healerx2,none,growth order void growth decay,1,13.9
"Sump, Mote, Pyre, Vane, Halo",1.07,0.63,1.16,1.28,1.23,1.074,1.28,0.63,0.65,8,DoTx2 Healerx3 Speedx3,none,growth energy chaos energy energy,2,34.2
"Sump, Nettle, Cinder, Mire, Vane",1,0.63,0.79,1.94,1,1.072,1.94,0.63,1.31,9,DoTx2 Healerx3 Speedx2,none,growth energy chaos growth energy,2,38.2
"Cinder, Vane, Sump, Maul, Wex",1.02,0.56,0.84,2.08,0.79,1.058,2.08,0.56,1.52,7,DoTx2 DPSx2 Healerx3,none,chaos energy growth decay order,0,0
"Corr, Cinder, Ledger, Quill, Vane",0.98,0.75,0.75,1.74,1.07,1.058,1.74,0.75,0.99,4,DPSx2 DoTx2 Breakerx2 Speedx2,none,void chaos order void energy,1,15.1
"Bosk, Vane, Tarn, Ledger, Sump",0.93,0.75,0.98,1.48,1.09,1.046,1.48,0.75,0.73,8,DPSx2 Tankx2 Speedx2 Healerx2,none,decay energy chaos order growth,0,0
"Ferrule, Ledger, Pyre, Tarn, Quill",0.91,0.61,1.07,1.48,1.11,1.036,1.48,0.61,0.87,8,Tankx2 DPSx2 Breakerx2 DoTx2,none,growth order chaos chaos void,1,19
"Quill, Sump, Ferrule, Mire, Ballast",0.98,0.63,0.88,1.71,0.98,1.036,1.71,0.63,1.08,11,DoTx2 Healerx2 Tankx3,none,void growth growth growth growth,3,81.4
"Quill, Corr, Sump, Fen, Wex",0.98,0.58,0.91,1.64,0.98,1.018,1.64,0.58,1.06,6,DoTx2 Healerx3,none,void void growth order order,2,45
"Mire, Cinder, Vane, Ferrule, Tarn",1,0.63,0.68,1.97,0.81,1.018,1.97,0.63,1.34,10,Healerx2 Tankx3 DPSx3,none,growth chaos energy growth chaos,2,39.9
"Fen, Wex, Maul, Corr, Vane",0.77,0.4,1.44,1.44,0.84,0.978,1.44,0.4,1.04,4,Healerx3 DPSx2,none,order order decay void energy,1,18.3
"Fen, Quill, Cinder, Mire, Ballast",0.91,0.58,0.75,1.71,0.86,0.962,1.71,0.58,1.13,8,Healerx2 DoTx2 Tankx2,none,order void chaos growth growth,1,22.1
"Wex, Ledger, Ferrule, Halo, Cinder",0.95,0.54,0.72,1.64,0.84,0.938,1.64,0.54,1.1,6,Tankx2 Healerx2 Speedx2 DPSx2,none,order order growth energy chaos,1,23.8
"Bosk, Ledger, Mire, Pyre, Ferrule",0.86,0.56,0.86,1.44,0.91,0.926,1.44,0.56,0.88,7,DPSx2 Tankx3,none,decay order growth chaos growth,1,14.3
"Ferrule, Bosk, Halo, Corr, Ballast",0.95,0.42,1.16,1.21,0.88,0.924,1.21,0.42,0.79,5,Tankx3 DPSx3,none,growth decay energy void growth,1,8.8
"Bosk, Ballast, Fen, Mire, Ledger",0.91,0.58,0.88,1.3,0.91,0.916,1.3,0.58,0.72,7,Tankx3 Healerx2,none,decay growth order growth order,2,50.5
"Vane, Ledger, Cinder, Ferrule, Quill",0.86,0.56,0.79,1.51,0.84,0.912,1.51,0.56,0.95,6,Speedx2 Breakerx2 DoTx2 DPSx2,none,energy order chaos growth void,0,0
"Quill, Ballast, Corr, Wex, Fen",0.88,0.58,0.84,1.39,0.86,0.91,1.39,0.58,0.81,5,Tankx2 Healerx2,none,void growth void order order,2,48.9
"Halo, Cinder, Ballast, Ledger, Tarn",0.79,0.58,0.75,1.48,0.91,0.902,1.48,0.58,0.9,8,Speedx2 DPSx2 Tankx2,none,energy chaos growth order chaos,1,4.9
"Cinder, Ledger, Ferrule, Vane, Wex",0.86,0.49,0.68,1.58,0.81,0.884,1.58,0.49,1.09,6,DPSx2 Speedx2 Tankx2 Healerx2,none,chaos order growth energy order,1,22.8
"Ledger, Halo, Ballast, Sump, Mire",0.86,0.61,0.72,1.37,0.86,0.884,1.37,0.61,0.76,10,Speedx2 Healerx3 Tankx2,none,order energy growth growth growth,2,67.3
"Cinder, Pyre, Wex, Vane, Sump",0.86,0.47,0.58,1.69,0.79,0.878,1.69,0.47,1.22,7,DoTx3 Healerx3,none,chaos chaos order energy growth,1,26.2
"Ferrule, Fen, Pyre, Corr, Tarn",0.79,0.49,0.98,1.39,0.72,0.874,1.39,0.49,0.9,7,Tankx2 DPSx3,none,growth order chaos void chaos,1,26.6
"Vane, Nettle, Tarn, Ferrule, Sump",0.79,0.49,0.72,1.3,0.86,0.832,1.3,0.49,0.81,10,Speedx2 Healerx2 Tankx2 DPSx2,none,energy energy chaos growth growth,2,33.7
"Nettle, Quill, Cinder, Sump, Halo",0.7,0.56,0.63,1.48,0.79,0.832,1.48,0.56,0.92,7,Speedx2 DoTx3 Healerx2,none,energy void chaos growth energy,1,21.8
"Fen, Nettle, Quill, Ferrule, Bosk",0.79,0.45,0.86,1.18,0.84,0.824,1.18,0.45,0.73,5,Tankx2 DPSx2,none,order energy void growth decay,0,0
"Bosk, Maul, Vane, Tarn, Halo",0.75,0.61,0.75,1.11,0.88,0.82,1.11,0.61,0.5,6,DPSx3 Tankx2 Speedx2 Healerx2,none,decay decay energy chaos energy,2,13.4
"Halo, Nettle, Ferrule, Tarn, Sump",0.75,0.47,0.7,1.23,0.81,0.792,1.23,0.47,0.76,10,Healerx2 Speedx2 Tankx2 DPSx2,none,energy energy growth chaos growth,2,35.2
"Nettle, Ferrule, Wex, Sump, Vane",0.7,0.42,0.61,1.11,0.72,0.712,1.11,0.42,0.69,8,Speedx2 Tankx2 Healerx3,none,energy growth order growth energy,2,40.6
"Quill, Halo, Bosk, Wex, Ledger",0.68,0.4,0.75,1.02,0.7,0.71,1.02,0.4,0.62,4,Breakerx2 Healerx2 Speedx2 Tankx2,none,void energy decay order order,1,20.5
"Fen, Bosk, Sump, Ledger, Halo",0.7,0.42,0.7,1.02,0.7,0.708,1.02,0.42,0.6,6,Healerx3 Speedx2,none,order decay growth order energy,1,31.3
"Nettle, Mire, Halo, Bosk, Wex",0.63,0.4,0.68,1,0.68,0.678,1,0.4,0.6,6,Speedx2 Healerx3 Tankx3,none,energy growth energy decay order,1,22.7
"Wex, Fen, Mire, Pyre, Bosk",0.61,0.4,0.7,1.07,0.58,0.672,1.07,0.4,0.67,6,Tankx3 Healerx3,none,order order growth chaos decay,1,23.7
"Sump, Mire, Quill, Fen, Vane",0.54,0.42,0.54,1.02,0.54,0.612,1.02,0.42,0.6,9,DoTx2 Healerx4,Healer,growth growth void order energy,1,25.1
"Halo, Nettle, Ballast, Vane, Bosk",0.56,0.4,0.61,0.86,0.56,0.598,0.86,0.4,0.46,5,Healerx2 Speedx3 Tankx2,none,energy energy growth energy decay,2,45.4
"Ferrule, Pyre, Tarn, Wex, Vane",0.54,0.4,0.49,0.95,0.54,0.584,0.95,0.4,0.55,8,Tankx3 DPSx2 Healerx2,none,growth chaos chaos order energy,1,24.6
"Ferrule, Quill, Cinder, Fen, Vane",0.45,0.4,0.4,1.16,0.45,0.572,1.16,0.4,0.76,6,DPSx2 DoTx2 Healerx2,none,growth void chaos order energy,0,0
"Halo, Vane, Sump, Bosk, Ferrule",0.49,0.4,0.54,0.84,0.52,0.558,0.84,0.4,0.44,7,Healerx3 Speedx2 DPSx2 Tankx2,none,energy energy growth decay growth,2,19.3
"Vane, Sump, Ledger, Bosk, Halo",0.47,0.4,0.47,0.72,0.42,0.496,0.72,0.4,0.32,6,Speedx3 Healerx3,none,energy growth order decay energy,1,0
"Vane, Wex, Ballast, Mire, Halo",0.47,0.4,0.4,0.7,0.45,0.484,0.7,0.4,0.3,8,Speedx2 Healerx4 Tankx3,Healer,energy order growth growth energy,2,26
"Ferrule, Pyre, Fen, Bosk, Vane",0.4,0.4,0.4,0.75,0.45,0.48,0.75,0.4,0.35,5,Tankx2 DPSx2 Healerx2,none,growth chaos order decay energy,0,0
"Fen, Ledger, Vane, Halo, Pyre",0.4,0.4,0.4,0.72,0.42,0.468,0.72,0.4,0.32,5,Healerx3 Speedx3,none,order order energy energy chaos,2,31.1
